1842
  32  36    590792.000     6.000
  33  35    581910.000   100.000
  27  42    586800.000   400.000
  28  41    595390.000   140.000
  29  40    599973.000     8.000
  30  39    601865.625     1.700
  31  38    601989.000     3.000
  32  37    598980.000     3.000
  33  36    594180.000    30.000
  34  35    586620.000    30.000
  28  42    602600.000   300.000
  29  41    605265.000    15.000
  30  40    611081.000     3.000
  31  39    609644.000     3.000
  32  38    610517.625     1.700
  33  37    603520.000    50.000
  28  43    607000.000   400.000
  29  42    613140.000    40.000
  30  41    616915.000    11.000
  31  40    618947.813     1.800
  32  39    617933.500     1.700
  33  38    615138.000     4.000
  28  44    613900.000   500.000
  30  42    625793.000     6.000
  31  41    625468.813     2.000
  32  40    628685.500     1.500
  33  39    623547.000     4.000
  34  38    622430.000    12.000
  35  37    612900.000   300.000
  36  36    607100.000   300.000
  30  43    631150.000    40.000
  31  42    634657.000     6.000
  32  41    635468.375     1.500
  33  40    634345.000     4.000
  34  39    630823.000    11.000
  35  38    625360.000   130.000
  36  37    617930.000   140.000
  30  44    639520.000    50.000
  31  43    641080.000    70.000
  32  42    645664.625     1.500
  33  41    642319.813     2.200
  34  40    642890.500     1.500
  35  39    635202.000    15.000
  36  38    631280.000    60.000
  37  37    620100.000   700.000
  30  45    644350.000    70.000
  31  44    649560.000     7.000
  32  43    652169.813     1.500
  33  42    652564.000     1.700
  34  41    650918.000     1.500
  35  40    647106.000    14.000
  36  39    641426.000    15.000
  37  38    633625.000     8.000
  30  46    651990.000   120.000
  31  45    655370.000    90.000
  32  44    661598.125     1.500
  33  43    659892.375     1.700
  34  42    662072.125     1.500
  35  41    656327.000     9.000
  36  40    654235.000    11.000
  37  39    644954.000     8.000
  30  47    656630.000   130.000
  31  46    663110.000    60.000
  32  45    667670.688     1.800
  33  44    669590.375     2.200
  34  43    669490.875     1.500
  35  42    667343.000     3.000
  36  41    663499.000     9.000
  37  40    657371.000     8.000
  38  39    649740.000   150.000
  30  48    663310.000   160.000
  31  47    668970.000    80.000
  32  46    676390.000     4.000
  33  45    676562.000    10.000
  34  44    679988.813     1.500
  35  43    675633.000     4.000
  36  42    675558.000     7.000
  37  41    667552.000     8.000
  38  40    663008.000     8.000
  31  48    675870.000   120.000
  32  47    682090.000    90.000
  33  46    685453.000     6.000
  34  45    686951.375     1.500
  35  44    686320.125     1.900
  36  43    683912.000     4.000
  37  42    679484.000     7.000
  38  41    673383.000     9.000
  39  40    665500.000   500.000
  30  50    674010.000   170.000
  31  49    680520.000   120.000
  32  48    690118.000    23.000
  33  47    692006.000    21.000
  34  46    696865.188     1.900
  35  45    694212.313     1.900
  36  44    695434.000     4.000
  37  43    688932.000     7.000
  38  42    686281.000     8.000
  31  50    687510.000   190.000
  32  49    695040.000   120.000
  33  48    700492.000     6.000
  34  47    703566.188     2.000
  35  46    704369.000     3.000
  36  45    703306.000     3.000
  37  44    700287.000     6.000
  38  43    695574.000     8.000
  39  42    689280.000    60.000
  40  41    681300.000   300.000
  32  50    702440.000   240.000
  33  49    706350.000   200.000
  34  48    712841.875     2.100
  35  47    711962.000     3.000
  36  46    714272.000     3.000
  37  45    709090.000     7.000
  38  44    708128.000     6.000
  39  43    699530.000   100.000
  40  42    694700.000   500.000
  33  50    713980.000   220.000
  34  49    718660.000     4.000
  35  48    721547.000     4.000
  36  47    721737.000     3.000
  37  46    720045.000     6.000
  38  45    716987.000     9.000
  39  44    711740.000    40.000
  40  43    705090.000   100.000
  41  42    696800.000   300.000
  34  50    727341.000    15.000
  35  49    728385.000    25.000
  36  48    732257.000     3.000
  37  47    728794.000     3.000
  38  46    728906.000     3.000
  39  45    721640.000    90.000
  34  51    731890.000    30.000
  35  50    737291.000    19.000
  36  49    739378.000     3.000
  37  48    739283.125     2.300
  38  47    737436.000     3.000
  39  46    733398.000    25.000
  40  45    727920.000   100.000
  41  44    721140.000   220.000
  34  52    738075.000    16.000
  35  51    742391.000    11.000
  36  50    749235.000     1.100
  37  49    747934.000     2.300
  38  48    748925.875     2.200
  39  47    742904.000    14.000
  40  46    740640.000    30.000
  41  45    731880.000    90.000
  42  44    725800.000   400.000
  34  53    742190.000    40.000
  35  52    748680.000    18.000
  36  51    754750.375     1.300
  37  50    757853.125     2.500
  38  49    757354.000     2.200
  39  48    754710.000     3.000
  40  47    750259.000     8.000
  41  46    744310.000    60.000
  42  45    737040.000   220.000
  34  54    747550.000    50.000
  35  53    753630.000    40.000
  36  52    761804.000    13.000
  37  51    763936.000     4.000
  38  50    768466.625     2.200
  39  49    764062.000     3.000
  40  48    762606.000    10.000
  42  46    750118.000    20.000
  35  54    759540.000    60.000
  36  53    766910.000    50.000
  37  52    771111.000     6.000
  38  51    774825.375     2.200
  39  50    775538.125     2.300
  40  49    771923.000     3.000
  41  48    766850.000    40.000
  42  47    760492.000    15.000
  43  46    752200.000   210.000
  35  55    763650.000    80.000
  36  54    773217.000    19.000
  37  53    776827.000     8.000
  38  52    782632.000     3.000
  39  51    782395.125     2.300
  40  50    783892.875     2.200
  41  49    777000.000     5.000
  42  48    773728.000     6.000
  43  47    763990.000   240.000
  35  56    768620.000    70.000
  36  55    777640.000    60.000
  37  54    783291.000     8.000
  38  53    788400.000     6.000
  39  52    790325.000     3.000
  40  51    791087.375     2.200
  41  50    789052.000     3.000
  42  49    783835.000    11.000
  43  48    776830.000   200.000
  44  47    768600.000   500.000
  35  57    771760.000    50.000
  36  56    783185.000    12.000
  37  55    788390.000     7.000
  38  54    795707.000     7.000
  39  53    796865.000     9.000
  40  52    799722.125     2.200
  41  51    796934.000     3.000
  42  50    796508.000     4.000
  43  49    787860.000    30.000
  36  57    786490.000   100.000
  37  56    794312.000     8.000
  38  55    800991.000     8.000
  39  54    804345.000    11.000
  40  53    806456.313     2.200
